district,districtcode,lastupdated,source,state,statecode,zone
Rajsamand,RJ_Rajsamand,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sawai Madhopur,RJ_Sawai Madhopur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sikar,RJ_Sikar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sirohi,RJ_Sirohi,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Tonk,RJ_Tonk,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Udaipur,RJ_Udaipur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
East District,SK_East District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
North District,SK_North District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
South District,SK_South District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
West District,SK_West District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
Adilabad,TG_Adilabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Bhadradri Kothagudem,TG_Bhadradri Kothagudem,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Hyderabad,TG_Hyderabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Jagtial,TG_Jagtial,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Jangaon,TG_Jangaon,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Jayashankar Bhupalapally,TG_Jayashankar Bhupalapally,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Jogulamba Gadwal,TG_Jogulamba Gadwal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Kamareddy,TG_Kamareddy,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Karimnagar,TG_Karimnagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Khammam,TG_Khammam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Komaram Bheem,TG_Komaram Bheem,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Mahabubabad,TG_Mahabubabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Mahabubnagar,TG_Mahabubnagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Mancherial,TG_Mancherial,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Medak,TG_Medak,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Medchal Malkajgiri,TG_Medchal Malkajgiri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Mulugu,TG_Mulugu,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Nagarkurnool,TG_Nagarkurnool,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Nalgonda,TG_Nalgonda,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Narayanpet,TG_Narayanpet,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Nirmal,TG_Nirmal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Nizamabad,TG_Nizamabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Peddapalli,TG_Peddapalli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Rajanna Sircilla,TG_Rajanna Sircilla,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Ranga Reddy,TG_Ranga Reddy,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Sangareddy,TG_Sangareddy,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Orange
Siddipet,TG_Siddipet,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Suryapet,TG_Suryapet,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Vikarabad,TG_Vikarabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Wanaparthy,TG_Wanaparthy,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Warangal Rural,TG_Warangal Rural,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Warangal Urban,TG_Warangal Urban,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Red
Yadadri Bhuvanagiri,TG_Yadadri Bhuvanagiri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Telangana,TG,Green
Ariyalur,TN_Ariyalur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Chengalpattu,TN_Chengalpattu,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Chennai,TN_Chennai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Coimbatore,TN_Coimbatore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Cuddalore,TN_Cuddalore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Dharmapuri,TN_Dharmapuri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Dindigul,TN_Dindigul,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Erode,TN_Erode,06/05/2020,https://www.thehindu.com/news/cities/Coimbatore/erode-district-to-move-from-orange-to-green-zone/article31512900.ece,Tamil Nadu,TN,Green
Kallakurichi,TN_Kallakurichi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Kancheepuram,TN_Kancheepuram,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Kanyakumari,TN_Kanyakumari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Karur,TN_Karur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Krishnagiri,TN_Krishnagiri,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Madurai,TN_Madurai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Nagapattinam,TN_Nagapattinam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Namakkal,TN_Namakkal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Nilgiris,TN_Nilgiris,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Perambalur,TN_Perambalur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Pudukkottai,TN_Pudukkottai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Ramanathapuram,TN_Ramanathapuram,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Ranipet,TN_Ranipet,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Salem,TN_Salem,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Sivaganga,TN_Sivaganga,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tenkasi,TN_Tenkasi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Thanjavur,TN_Thanjavur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Theni,TN_Theni,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Thiruvallur,TN_Thiruvallur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Thiruvarur,TN_Thiruvarur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Thoothukkudi,TN_Thoothukkudi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tiruchirappalli,TN_Tiruchirappalli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tirunelveli,TN_Tirunelveli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tirupathur,TN_Tirupathur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tiruppur,TN_Tiruppur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Tiruvannamalai,TN_Tiruvannamalai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Vellore,TN_Vellore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Viluppuram,TN_Viluppuram,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Virudhunagar,TN_Virudhunagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Dhalai,TR_Dhalai,04/05/2020,https://www.ndtv.com/india-news/coronavirus-cases-india-biplab-deb-as-14-bsf-jawans-test-covid-19-in-tripura-dont-panic-2222727,Tripura,TR,Red
Gomati,TR_Gomati,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Orange
Khowai,TR_Khowai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Green
North Tripura,TR_North Tripura,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Orange
Sipahijala,TR_Sipahijala,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Green
South Tripura,TR_South Tripura,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Green
Unokoti,TR_Unokoti,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Green
West Tripura,TR_West Tripura,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tripura,TR,Green
Agra,UP_Agra,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Aligarh,UP_Aligarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Ambedkar Nagar,UP_Ambedkar Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Amethi,UP_Amethi,08/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Amroha,UP_Amroha,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Auraiya,UP_Auraiya,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Ayodhya,UP_Ayodhya,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Azamgarh,UP_Azamgarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Baghpat,UP_Baghpat,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Bahraich,UP_Bahraich,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Ballia,UP_Ballia,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Balrampur,UP_Balrampur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Banda,UP_Banda,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Barabanki,UP_Barabanki,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Bareilly,UP_Bareilly,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Basti,UP_Basti,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Bhadohi,UP_Bhadohi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Bijnor,UP_Bijnor,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Budaun,UP_Budaun,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Bulandshahr,UP_Bulandshahr,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Chandauli,UP_Chandauli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Chitrakoot,UP_Chitrakoot,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Deoria,UP_Deoria,08/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Etah,UP_Etah,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Etawah,UP_Etawah,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Farrukhabad,UP_Farrukhabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Fatehpur,UP_Fatehpur,08/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Firozabad,UP_Firozabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Gautam Buddha Nagar,UP_Gautam Buddha Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Ghaziabad,UP_Ghaziabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Ghazipur,UP_Ghazipur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Gonda,UP_Gonda,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Gorakhpur,UP_Gorakhpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Hamirpur,UP_Hamirpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Hapur,UP_Hapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Hardoi,UP_Hardoi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Hathras,UP_Hathras,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Jalaun,UP_Jalaun,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Jaunpur,UP_Jaunpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Jhansi,UP_Jhansi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Kannauj,UP_Kannauj,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Kanpur Dehat,UP_Kanpur Dehat,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Kanpur Nagar,UP_Kanpur Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Kasganj,UP_Kasganj,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Kaushambi,UP_Kaushambi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Kushinagar,UP_Kushinagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Lakhimpur Kheri,UP_Lakhimpur Kheri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Lalitpur,UP_Lalitpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Lucknow,UP_Lucknow,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Maharajganj,UP_Maharajganj,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Mahoba,UP_Mahoba,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Mainpuri,UP_Mainpuri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Mathura,UP_Mathura,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Mau,UP_Mau,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Meerut,UP_Meerut,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Mirzapur,UP_Mirzapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Moradabad,UP_Moradabad,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Muzaffarnagar,UP_Muzaffarnagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Pilibhit,UP_Pilibhit,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Pratapgarh,UP_Pratapgarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Prayagraj,UP_Prayagraj,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Rae Bareli,UP_Rae Bareli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Rampur,UP_Rampur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Saharanpur,UP_Saharanpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Sambhal,UP_Sambhal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Sant Kabir Nagar,UP_Sant Kabir Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Shahjahanpur,UP_Shahjahanpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Shamli,UP_Shamli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Shrawasti,UP_Shrawasti,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Siddharthnagar,UP_Siddharthnagar,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Sitapur,UP_Sitapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Sonbhadra,UP_Sonbhadra,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Green
Sultanpur,UP_Sultanpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Unnao,UP_Unnao,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Orange
Varanasi,UP_Varanasi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttar Pradesh,UP,Red
Almora,UT_Almora,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttarakhand,UT,Green
Bageshwar,UT_Bageshwar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttarakhand,UT,Green
Chamoli,UT_Chamoli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttarakhand,UT,Green
Champawat,UT_Champawat,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttarakhand,UT,Green
Dehradun,UT_Dehradun,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Uttarakhand,UT,Orange
